"network.var.name";"network.unit";"network.long.description";"cf.var.name";"cf.unit";"cf.cell.method"
"1";"Tm";"celsius";NA;"air_temperature";"celsius";"time: mean"
"2";"Tx";"celsius";NA;"air_temperature";"celsius";"time: maximum"
"3";"Tn";"celsius";NA;"air_temperature";"celsius";"time: minimum"
"4";"Precip";"mm";NA;"lwe_thickness_of_precipitation_amount";"mm";"time: sum"
"5";"RHm";"%";NA;"relative_humidity";"%";"time: mean"
"6";"RHx";"%";NA;"relative_humidity";"%";"time: maximum"
"7";"RHn";"%";NA;"relative_humidity";"%";"time: minimum"
"8";"Wind_m";"m s-1";NA;"wind_speed";"m s-1";"time: mean"
"9";"Wind_x";"m s-1";NA;"wind_speed";"m s-1";"time: maximum"
"10";"Wind_n";"m s-1";NA;"wind_speed";"m s-1";"time: minimum"
"11";"Wdir_m";"degree";NA;"wind_from_direction";"degree";"time: mean"
