"network.var.name";"network.unit";"network.long.description";"cf.var.name";"cf.unit";"cf.cell.method"
"1";"MIN.TEMP";"celsius";"Minimum temperature";"air_temperature";"celsius";"time: maximum"
"2";"MAX.TEMP";"celsius";"Maximum temperature";"air_temperature";"celsius";"time: minimum"
"3";"PRES.TEMP";"celsius";"Present temperature ?";"air_temperature";"celsius";"time: point"
"4";"HRLY.PRCP";"mm";"Hourly precipitation";"lwe_thickness_of_precipitation_amount";"mm";"time: sum"
"5";"OBS.TYPE";"RAW' or 'ST'";"Observation type";"";"";""
"6";"DEW.POINT";"celsius";"Dew point";"dew_point_temperature";"celsius";""
"7";"SNOW.PACK";"cm";"Total snow pack";"";"cm";"time: point"
"8";"WND.SPD.1";"km h-1";"";"wind_speed";"m s-1";""
"9";"MAX.GUST.1";"km h-1";"";"wind_speed_of_gust";"m s-1";"time: Maximum"
"10";"WND.DIR.1";"degree";"";"wind_from_direction";"degree";""
"11";"WND.SPD.2";"km h-1";"";"";"m s-1";""
"12";"MAX.GUST.2";"km h-1";"";"";"m s-1";"time: Maximum"
"13";"WND.DIR.2";"degree";"";"";"degree";""
"14";"ATM.PRESS";"millibar";"Atmospheric pressure";"air_pressure";"Pa";"time: point"
"15";"RH";"%";"Relative humidity";"relative_humidity";"%";""
